detection_id,customer_id,product_id,timestamp,location,altitude_m,detected_object,confidence,alert_level,processed
1,45,7,2024-02-16 13:47:00,AarhusPort,167,bird,0.702,low,True
2,47,12,2024-01-25 01:54:00,CopenhagenHarbor,102,bird,0.901,low,True
3,31,2,2024-01-25 21:34:00,OdenseIndustrial,143,unknown,0.668,low,False
4,139,1,2024-02-02 03:11:00,EsbjergPort,158,drone,0.711,high,True
5,10,2,2024-02-21 04:08:00,OdenseIndustrial,123,bird,0.807,low,True
6,118,10,2024-01-27 17:58:00,OdenseIndustrial,86,bird,0.984,low,True
7,14,1,2024-01-08 03:07:00,BillundAirport,26,bird,0.822,low,True
8,80,7,2024-01-01 17:42:00,BillundAirport,170,bird,0.846,medium,False
9,93,15,2024-02-05 00:48:00,BillundAirport,129,drone,0.964,critical,True
10,10,12,2024-01-05 07:49:00,CopenhagenAirport,53,drone,0.908,high,True
11,76,7,2024-02-09 10:33:00,CopenhagenHarbor,125,bird,0.869,low,True
12,94,1,2024-02-03 06:35:00,OdenseIndustrial,166,bird,0.931,low,True
13,105,11,2024-01-04 05:12:00,OdenseIndustrial,77,bird,0.951,low,False
14,1,7,2024-01-03 11:56:00,BillundAirport,28,drone,0.832,high,True
15,133,2,2024-01-05 06:48:00,OdenseIndustrial,67,drone,0.838,medium,False
16,20,1,2024-01-06 06:01:00,EsbjergPort,134,bird,0.812,medium,True
17,8,13,2024-02-21 05:54:00,OdenseIndustrial,60,bird,0.98,medium,False
18,1,8,2024-02-27 01:12:00,AarhusPort,67,drone,0.902,medium,True
19,57,11,2024-01-19 13:34:00,EsbjergPort,192,bird,0.724,medium,False
20,64,12,2024-01-05 10:11:00,EsbjergPort,44,bird,0.95,low,False
21,118,7,2024-01-19 02:29:00,OdenseIndustrial,135,bird,0.839,low,False
22,28,7,2024-02-25 11:45:00,CopenhagenAirport,97,drone,0.72,high,True
23,121,5,2024-01-09 23:10:00,BillundAirport,127,bird,0.859,low,True
24,107,4,2024-02-21 00:39:00,CopenhagenHarbor,44,bird,0.821,low,True
25,49,5,2024-02-23 23:35:00,CopenhagenHarbor,166,drone,0.955,critical,True
26,120,9,2024-02-26 10:24:00,AarhusPort,58,bird,0.759,low,True
27,44,7,2024-01-17 03:55:00,CopenhagenHarbor,138,bird,0.94,low,True
28,56,12,2024-02-20 04:34:00,CopenhagenHarbor,98,bird,0.862,low,True
29,111,5,2024-02-26 13:29:00,BillundAirport,99,bird,0.716,medium,True
30,134,7,2024-02-11 16:04:00,BillundAirport,46,drone,0.982,high,True
31,108,8,2024-02-13 17:41:00,CopenhagenAirport,123,bird,0.849,low,True
32,148,7,2024-02-28 18:59:00,AarhusPort,93,bird,0.784,low,True
33,114,8,2024-02-07 21:13:00,CopenhagenHarbor,87,bird,0.836,medium,True
34,78,2,2024-02-03 15:27:00,CopenhagenAirport,166,drone,0.949,high,True
35,130,7,2024-01-24 23:29:00,AarhusPort,47,drone,0.788,medium,True
36,37,2,2024-02-22 13:43:00,EsbjergPort,142,bird,0.756,low,False
37,20,5,2024-02-22 20:10:00,CopenhagenHarbor,180,bird,0.737,low,False
38,26,6,2024-01-12 23:40:00,CopenhagenHarbor,157,drone,0.786,high,False
39,29,8,2024-01-03 15:32:00,BillundAirport,102,bird,0.926,medium,False
40,1,14,2024-01-20 11:04:00,OdenseIndustrial,49,drone,0.837,medium,True
41,119,7,2024-02-10 17:36:00,AarhusPort,41,drone,0.766,medium,True
42,35,9,2024-01-19 22:45:00,CopenhagenHarbor,22,drone,0.748,high,True
43,59,7,2024-01-02 02:45:00,AarhusPort,120,bird,0.796,low,True
44,69,8,2024-02-19 09:58:00,CopenhagenAirport,124,bird,0.973,low,True
45,12,1,2024-02-20 05:03:00,CopenhagenAirport,195,drone,0.799,high,True
46,20,3,2024-01-19 20:19:00,OdenseIndustrial,21,bird,0.987,low,True
47,43,4,2024-02-23 13:49:00,CopenhagenHarbor,73,bird,0.841,medium,True
48,126,6,2024-02-08 23:38:00,BillundAirport,25,drone,0.752,high,True
49,50,1,2024-02-22 20:45:00,CopenhagenHarbor,126,drone,0.958,critical,True
50,29,2,2024-01-10 15:58:00,AarhusPort,187,bird,0.834,low,True
51,39,3,2024-02-29 11:35:00,EsbjergPort,142,bird,0.906,medium,True
52,38,15,2024-01-20 01:26:00,CopenhagenAirport,21,bird,0.985,low,True
53,84,4,2024-01-10 01:26:00,AarhusPort,130,drone,0.715,high,True
54,128,6,2024-01-18 05:38:00,OdenseIndustrial,21,unknown,0.521,low,False
55,126,2,2024-01-04 00:04:00,CopenhagenAirport,112,bird,0.909,medium,True
56,45,7,2024-02-23 00:03:00,BillundAirport,120,bird,0.782,medium,True
57,52,3,2024-01-07 07:51:00,CopenhagenAirport,116,drone,0.753,high,True
58,80,2,2024-01-27 11:10:00,EsbjergPort,130,bird,0.711,low,True
59,124,7,2024-01-12 09:09:00,CopenhagenHarbor,25,bird,0.706,low,True
60,119,1,2024-01-29 18:27:00,EsbjergPort,146,unknown,0.539,high,True
61,8,1,2024-02-25 06:19:00,EsbjergPort,123,bird,0.739,low,True
62,85,2,2024-01-20 23:06:00,CopenhagenHarbor,166,drone,0.836,high,False
63,129,1,2024-01-01 01:57:00,CopenhagenAirport,174,bird,0.876,medium,False
64,8,2,2024-02-28 15:51:00,OdenseIndustrial,20,bird,0.824,medium,True
65,96,4,2024-01-10 04:34:00,CopenhagenHarbor,52,drone,0.708,medium,True
66,102,10,2024-02-07 02:41:00,CopenhagenHarbor,59,bird,0.927,low,True
67,5,7,2024-01-01 14:06:00,BillundAirport,51,unknown,0.729,low,True
68,86,7,2024-01-08 14:34:00,CopenhagenAirport,36,bird,0.921,low,True
69,34,3,2024-02-25 00:39:00,CopenhagenHarbor,145,bird,0.959,low,True
70,55,14,2024-02-02 07:14:00,OdenseIndustrial,27,bird,0.826,low,True
71,119,5,2024-01-05 11:49:00,AarhusPort,76,bird,0.855,low,True
72,114,1,2024-01-21 21:45:00,CopenhagenAirport,61,bird,0.838,medium,True
73,145,7,2024-01-30 05:41:00,BillundAirport,117,bird,0.813,low,True
74,26,2,2024-02-14 16:03:00,EsbjergPort,156,bird,0.957,low,True
75,136,4,2024-02-10 07:47:00,CopenhagenHarbor,139,bird,0.959,low,False
76,47,7,2024-02-04 06:56:00,OdenseIndustrial,106,drone,0.797,medium,True
77,113,12,2024-02-01 15:47:00,CopenhagenAirport,182,drone,0.878,medium,True
78,76,6,2024-01-26 16:16:00,OdenseIndustrial,73,drone,0.969,high,True
79,72,8,2024-02-16 22:24:00,OdenseIndustrial,103,bird,0.979,low,True
80,89,15,2024-02-24 11:57:00,EsbjergPort,44,bird,0.848,low,False
81,46,2,2024-01-30 12:53:00,BillundAirport,86,drone,0.831,high,True
82,33,3,2024-01-02 06:28:00,CopenhagenAirport,193,bird,0.781,low,True
83,1,5,2024-01-02 07:57:00,CopenhagenHarbor,171,bird,0.978,medium,True
84,147,5,2024-01-15 07:38:00,BillundAirport,65,drone,0.741,medium,True
85,31,5,2024-01-23 09:34:00,CopenhagenHarbor,41,drone,0.868,high,True
86,142,13,2024-02-02 21:22:00,AarhusPort,158,bird,0.782,low,True
87,53,8,2024-01-14 23:28:00,OdenseIndustrial,195,bird,0.781,medium,True
88,48,7,2024-02-11 05:43:00,AarhusPort,27,drone,0.817,high,True
89,69,4,2024-02-15 12:25:00,OdenseIndustrial,58,bird,0.99,low,True
90,105,11,2024-02-27 01:40:00,EsbjergPort,182,drone,0.716,medium,False
91,90,14,2024-01-07 20:25:00,BillundAirport,68,drone,0.868,high,True
92,63,11,2024-01-02 12:59:00,CopenhagenHarbor,65,drone,0.724,high,True
93,73,1,2024-01-28 15:29:00,EsbjergPort,57,bird,0.745,low,True
94,89,8,2024-01-04 16:07:00,CopenhagenHarbor,155,bird,0.827,low,True
95,13,1,2024-01-24 21:07:00,BillundAirport,73,drone,0.848,high,True
96,73,3,2024-01-06 21:52:00,CopenhagenAirport,184,drone,0.775,medium,True
97,77,1,2024-01-01 22:22:00,AarhusPort,111,drone,0.792,high,True
98,68,7,2024-02-13 19:16:00,AarhusPort,59,bird,0.725,low,True
99,98,8,2024-01-14 08:16:00,CopenhagenHarbor,53,bird,0.788,medium,True
100,125,2,2024-02-25 09:27:00,CopenhagenHarbor,115,drone,0.98,high,True
