transaction_id,customer_id,product_id,transaction_date,quantity,unit_price,currency,total_amount,billing_type
1,6,6,2024-01-10,17,129.0,EUR,2193.0,subscription
2,68,15,2023-11-26,2,5000.0,EUR,10000.0,project
3,101,15,2024-07-09,2,5000.0,EUR,10000.0,project
4,134,2,2023-08-04,1,599.0,EUR,599.0,subscription
5,13,4,2024-07-03,4,79.0,EUR,316.0,subscription
6,30,6,2023-07-29,19,129.0,EUR,2451.0,subscription
7,100,5,2024-02-06,11,149.0,EUR,1639.0,subscription
8,2,11,2023-08-22,1,2000.0,EUR,2000.0,project
9,58,6,2024-06-17,12,129.0,EUR,1548.0,subscription
10,36,3,2024-07-26,2,1999.0,EUR,3998.0,annual
11,72,5,2023-09-14,6,149.0,EUR,894.0,subscription
12,137,2,2024-11-05,1,599.0,EUR,599.0,subscription
13,126,7,2024-12-03,1,399.0,EUR,399.0,subscription
14,77,3,2023-10-25,9,1999.0,EUR,17991.0,annual
15,50,1,2024-04-05,1,299.0,EUR,299.0,subscription
16,32,14,2023-12-22,22148,0.003,EUR,66.44,usage
17,98,8,2024-04-20,1,499.0,EUR,499.0,subscription
18,43,8,2024-09-23,1,499.0,EUR,499.0,subscription
19,125,3,2024-11-29,9,1999.0,EUR,17991.0,annual
20,95,13,2023-07-21,39774,0.004,EUR,159.1,usage
21,78,7,2023-09-11,1,399.0,EUR,399.0,subscription
22,54,9,2023-08-05,8,2499.0,EUR,19992.0,annual
23,47,8,2024-11-18,1,499.0,EUR,499.0,subscription
24,14,3,2024-02-18,8,1999.0,EUR,15992.0,annual
25,55,15,2024-11-08,5,5000.0,EUR,25000.0,project
26,63,13,2024-01-22,24100,0.004,EUR,96.4,usage
27,19,2,2024-08-29,1,599.0,EUR,599.0,subscription
28,91,13,2023-08-13,34691,0.004,EUR,138.76,usage
29,137,10,2023-09-29,6,99.0,EUR,594.0,subscription
30,101,7,2024-10-12,1,399.0,EUR,399.0,subscription
31,37,7,2024-10-09,1,399.0,EUR,399.0,subscription
32,107,9,2024-09-26,3,2499.0,EUR,7497.0,annual
33,92,5,2024-05-28,5,149.0,EUR,745.0,subscription
34,52,4,2024-11-18,9,79.0,EUR,711.0,subscription
35,28,8,2024-10-12,1,499.0,EUR,499.0,subscription
36,36,14,2023-07-21,11246,0.003,EUR,33.74,usage
37,116,4,2024-02-13,4,79.0,EUR,316.0,subscription
38,64,4,2024-07-10,7,79.0,EUR,553.0,subscription
39,18,12,2023-11-07,31340,0.005,EUR,156.7,usage
40,89,14,2024-08-17,20338,0.003,EUR,61.01,usage
41,78,12,2023-09-09,4086,0.005,EUR,20.43,usage
42,90,2,2024-08-07,1,599.0,EUR,599.0,subscription
43,8,13,2024-07-31,26535,0.004,EUR,106.14,usage
44,15,15,2024-06-01,2,5000.0,EUR,10000.0,project
45,7,1,2024-11-16,1,299.0,EUR,299.0,subscription
46,17,4,2024-04-01,13,79.0,EUR,1027.0,subscription
47,86,7,2023-07-13,1,399.0,EUR,399.0,subscription
48,118,12,2023-07-03,18013,0.005,EUR,90.06,usage
